Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
108,Innovate Industries,Search,Men 25-34,15 days,Google Ads,5.82397083,4900,11.43,Chicago,English,1092,22798,4,Fashionistas,02-01-2023
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,5.912499821,9764,-31.64,Miami,German,1335,24232,4,Outdoor Adventurers,02-01-2023
110,TechCorp,Email,All Ages,30 days,Website,7.372499821,6005,206.83,San Francisco,French,3685,52881,5,Tech Enthusiasts,02-01-2023
111,Innovate Industries,Search,Women 25-34,30 days,Website,5.563440407,6960,50.22,Chicago,English,2091,46068,7,Health & Wellness,02-01-2023
112,NexGen Systems,Influencer,Women 25-34,30 days,Facebook,5.852499821,5741,336.68,Chicago,French,5014,92002,4,Health & Wellness,02-01-2023
113,Alpha Innovations,Search,Men 25-34,30 days,Instagram,4.722499821,6070,183.36,"Washington, D.C.",Spanish,3440,79641,5,Fashionistas,02-01-2023
114,Data Tech Solutions,Social Media,Men 25-34,30 days,Google Ads,4.482499821,5687,158.75,New York,Mandarin,2943,72146,8,Fashionistas,02-01-2023
115,Alpha Innovations,Search,Women 35-44,30 days,YouTube,5.435579238,4398,460.03,Miami,English,4926,95847,8,Foodies,02-01-2023
116,NexGen Systems,Email,Women 25-34,45 days,Email,3.412499821,7840,5.17,Seattle,Spanish,1649,54810,4,Foodies,02-01-2023
117,TechCorp,Search,Men 25-34,60 days,Google Ads,4.974812162,6433,-13.18,New York,English,1117,25868,4,Health & Wellness,02-01-2023
118,Innovate Industries,Display,Men 25-34,30 days,Instagram,5.272499821,6206,-89.61,San Francisco,French,129,2657,9,Health & Wellness,02-01-2023
119,Alpha Innovations,Display,Men 18-24,30 days,Instagram,3.862499821,4577,97.95,Los Angeles,Spanish,1812,52373,4,Fashionistas,02-01-2023
120,NexGen Systems,Search,Women 35-44,15 days,YouTube,4.582499821,8941,-34.63,Atlanta,Spanish,1169,27974,7,Outdoor Adventurers,02-01-2023
121,TechCorp,Email,Women 35-44,15 days,YouTube,3.892499821,9098,-51.58,Seattle,Spanish,881,25245,5,Tech Enthusiasts,02-01-2023
122,NexGen Systems,Email,Men 18-24,15 days,Instagram,3.872499821,8816,66.12,Chicago,Spanish,2929,84425,5,Foodies,02-01-2023
123,Alpha Innovations,Influencer,All Ages,15 days,Website,4.182499821,3778,198.84,New York,Spanish,2258,59736,4,Fashionistas,02-01-2023
124,Data Tech Solutions,Influencer,Men 18-24,45 days,Facebook,4.653277299,3359,218.7,New York,English,2141,61888,5,Fashionistas,02-01-2023
125,TechCorp,Search,Women 25-34,30 days,Website,5.768561343,9462,21.22,Miami,English,2294,64457,5,Tech Enthusiasts,02-01-2023
126,Data Tech Solutions,Influencer,Men 18-24,30 days,Email,3.652499821,5325,154.18,Houston,French,2707,83322,4,Health & Wellness,02-01-2023
127,TechCorp,Email,Men 25-34,15 days,Facebook,5.222499821,3034,437.24,"Washington, D.C.",German,3260,67641,4,Outdoor Adventurers,02-01-2023
128,TechCorp,Influencer,Men 25-34,15 days,Instagram,5.863243918,9118,42.58,Miami,English,2600,85269,5,Foodies,02-01-2023
129,Innovate Industries,Display,Women 25-34,15 days,Facebook,4.03298824,9887,-46.8,Los Angeles,English,1052,22678,6,Tech Enthusiasts,02-01-2023
130,Alpha Innovations,Search,Men 25-34,30 days,Email,5.162499821,2716,542.86,"Washington, D.C.",German,3492,73363,4,Health & Wellness,02-01-2023
131,Innovate Industries,Email,Men 18-24,15 days,Email,4.102499821,1790,236.03,San Francisco,Spanish,1203,32534,4,Fashionistas,02-01-2023
132,TechCorp,Social Media,Men 25-34,15 days,Google Ads,4.132499821,3218,4.41,Houston,German,672,18025,5,Health & Wellness,02-01-2023
133,Innovate Industries,Display,Men 18-24,30 days,Google Ads,4.542499821,5166,-43.48,San Francisco,Spanish,584,14117,5,Foodies,02-01-2023
134,Alpha Innovations,Email,Women 35-44,45 days,Instagram,4.632499821,2146,696.83,Atlanta,German,3420,80869,5,Foodies,02-01-2023
135,NexGen Systems,Display,Women 25-34,30 days,Instagram,3.992499821,8607,-75.37,Los Angeles,Mandarin,424,11815,4,Health & Wellness,02-01-2023
136,Data Tech Solutions,Social Media,Women 25-34,45 days,Instagram,3.682499821,1486,440.04,Chicago,French,1605,48963,8,Fashionistas,02-01-2023
137,Data Tech Solutions,Display,Women 25-34,15 days,YouTube,3.682499821,8397,-49.03,Atlanta,German,856,26128,5,Fashionistas,02-01-2023
138,NexGen Systems,Email,Men 25-34,15 days,Website,4.022499821,2601,495.16,"Washington, D.C.",Spanish,3096,85551,4,Tech Enthusiasts,02-01-2023
139,TechCorp,Search,All Ages,30 days,Website,4.157031979,1266,1413.03,Los Angeles,English,3831,96268,7,Tech Enthusiasts,02-01-2023
140,Data Tech Solutions,Influencer,Men 25-34,30 days,Instagram,4.942499821,7580,-55.15,San Francisco,Spanish,680,14980,4,Health & Wellness,02-01-2023
141,NexGen Systems,Social Media,Women 25-34,30 days,YouTube,4.014946478,8420,95.43,Houston,English,3291,74466,8,Fashionistas,02-01-2023
142,Innovate Industries,Email,Women 25-34,15 days,Google Ads,4.112499821,7851,31.77,New York,German,2069,55781,4,Fashionistas,02-01-2023
143,Innovate Industries,Email,Men 18-24,15 days,Email,4.562499821,3756,298.16,San Francisco,Spanish,2991,71900,4,Tech Enthusiasts,02-01-2023
144,Alpha Innovations,Display,Men 18-24,45 days,Instagram,3.999949583,3428,273.54,Houston,Mandarin,2561,70957,8,Foodies,03-01-2023
145,Alpha Innovations,Influencer,Women 25-34,30 days,Facebook,5.056958145,3176,43.1,San Francisco,English,909,20814,4,Outdoor Adventurers,03-01-2023
146,Alpha Innovations,Social Media,Women 25-34,30 days,YouTube,5.219949583,6972,125.9,Seattle,Mandarin,3150,65237,5,Outdoor Adventurers,03-01-2023
147,Alpha Innovations,Influencer,Women 25-34,45 days,YouTube,2.429949583,3127,87.4,Los Angeles,Mandarin,1172,57494,5,Outdoor Adventurers,03-01-2023
148,TechCorp,Email,Men 18-24,30 days,YouTube,4.739949583,4031,-14.91,"Washington, D.C.",German,686,15788,4,Fashionistas,03-01-2023
149,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,5.675390766,5795,47.2,Atlanta,English,1706,32251,9,Fashionistas,03-01-2023
150,NexGen Systems,Social Media,Women 35-44,30 days,Instagram,4.169949583,9631,-6.03,Chicago,Spanish,1810,47898,5,Tech Enthusiasts,03-01-2023
151,NexGen Systems,Social Media,Men 25-34,60 days,Google Ads,5.089446413,7111,-35.73,Chicago,English,914,18103,8,Foodies,03-01-2023
152,Innovate Industries,Social Media,Women 35-44,45 days,Instagram,4.389949583,4610,38.39,Chicago,German,1276,31917,8,Health & Wellness,03-01-2023
153,Innovate Industries,Display,Women 25-34,30 days,Email,6.169949583,9591,77.72,Miami,Spanish,3409,58994,4,Foodies,03-01-2023
154,TechCorp,Email,Women 25-34,15 days,YouTube,4.444111756,8823,-61.24,Seattle,English,684,15961,5,Fashionistas,03-01-2023
155,TechCorp,Email,Men 25-34,45 days,Instagram,6.369949583,7586,-70.47,Seattle,German,448,7498,4,Foodies,03-01-2023
156,Alpha Innovations,Email,Women 25-34,45 days,Facebook,6.209949583,7175,-24.6,Seattle,Mandarin,1082,18606,5,Fashionistas,03-01-2023
157,Alpha Innovations,Social Media,All Ages,30 days,Google Ads,4.669949583,8643,-87.1,Dallas,French,223,5222,5,Health & Wellness,03-01-2023
158,TechCorp,Display,Women 35-44,60 days,YouTube,4.130808941,4015,-15.19,Dallas,English,681,15520,5,Tech Enthusiasts,03-01-2023
159,Data Tech Solutions,Search,Women 25-34,45 days,Google Ads,4.709949583,8828,103.95,Los Angeles,German,3601,83371,5,Foodies,03-01-2023
160,NexGen Systems,Search,Men 25-34,30 days,Instagram,6.969949583,6945,-20.81,Chicago,German,1100,16730,5,Fashionistas,03-01-2023
161,Innovate Industries,Social Media,Women 35-44,30 days,Website,4.79528149,1980,540.15,San Francisco,English,2535,56469,5,Health & Wellness,03-01-2023
162,Alpha Innovations,Influencer,Women 35-44,30 days,Instagram,5.747463494,4267,237,Atlanta,English,2876,64788,4,Tech Enthusiasts,03-01-2023
163,Data Tech Solutions,Search,Men 25-34,30 days,Facebook,5.760246081,5027,-20.43,New York,English,800,19021,5,Foodies,03-01-2023
164,TechCorp,Search,Women 25-34,15 days,Google Ads,4.289949583,5330,200.75,Seattle,German,3206,82208,7,Tech Enthusiasts,03-01-2023
165,TechCorp,Search,Men 18-24,30 days,Google Ads,4.829949583,5627,-76.19,Dallas,French,268,6049,4,Foodies,03-01-2023
166,NexGen Systems,Influencer,All Ages,45 days,Facebook,4.826403123,2965,349.75,Seattle,English,2667,55932,4,Health & Wellness,03-01-2023
167,Data Tech Solutions,Email,Men 18-24,60 days,Facebook,4.069949583,1070,1332.71,Miami,German,3066,83326,4,Tech Enthusiasts,03-01-2023
168,Innovate Industries,Social Media,Women 35-44,15 days,Website,5.419949583,8213,183.88,Dallas,German,4663,92712,5,Fashionistas,03-01-2023
169,Innovate Industries,Search,All Ages,30 days,Google Ads,5.329949583,6813,250.43,Chicago,Spanish,4775,96662,5,Tech Enthusiasts,03-01-2023
170,Innovate Industries,Display,Women 25-34,30 days,Instagram,3.639949583,3650,4.66,Houston,French,764,23529,6,Health & Wellness,03-01-2023
171,Alpha Innovations,Display,Men 18-24,30 days,YouTube,6.129949583,7018,70.21,"Washington, D.C.",Spanish,2389,41628,4,Tech Enthusiasts,03-01-2023
172,Innovate Industries,Search,All Ages,15 days,Google Ads,4.570790053,7957,22.6,Los Angeles,Mandarin,1951,44975,4,Foodies,04-01-2023
173,Data Tech Solutions,Social Media,Women 35-44,15 days,Email,5.004998105,1545,206.8,Dallas,English,948,22109,5,Fashionistas,04-01-2023
174,Alpha Innovations,Social Media,Men 18-24,15 days,YouTube,5.159969264,6340,68.53,Los Angeles,English,2137,55947,8,Foodies,04-01-2023
175,TechCorp,Influencer,Men 25-34,15 days,Email,2.530790053,7856,-21.02,Houston,German,1241,53990,4,Health & Wellness,04-01-2023
176,Innovate Industries,Influencer,All Ages,30 days,Website,4.260790053,2472,165.98,"Washington, D.C.",Mandarin,1315,32635,5,Outdoor Adventurers,04-01-2023
177,Innovate Industries,Social Media,Men 25-34,15 days,Google Ads,4.354941611,3319,85,San Francisco,English,1228,42215,8,Foodies,04-01-2023
178,Alpha Innovations,Email,Women 25-34,15 days,Facebook,2.690790053,4885,141.66,Chicago,French,2361,95984,5,Tech Enthusiasts,04-01-2023
179,TechCorp,Search,Women 25-34,30 days,Website,4.950790053,9033,0.96,"Washington, D.C.",Spanish,1824,38649,5,Health & Wellness,04-01-2023
180,Alpha Innovations,Search,Men 25-34,60 days,Google Ads,5.190790053,7020,57.69,Houston,Spanish,2214,44654,5,Health & Wellness,04-01-2023
181,NexGen Systems,Social Media,Men 25-34,30 days,YouTube,5.033364844,5065,21.13,Dallas,English,1227,47401,8,Outdoor Adventurers,04-01-2023
182,TechCorp,Email,Women 25-34,30 days,Instagram,3.370790053,6100,22.46,Miami,French,1494,47590,4,Fashionistas,04-01-2023
183,TechCorp,Search,All Ages,60 days,Google Ads,5.254080519,8549,-11.98,San Francisco,English,1505,32579,8,Outdoor Adventurers,04-01-2023
184,TechCorp,Search,Women 35-44,30 days,YouTube,5.280790053,3175,694.65,Miami,Spanish,5046,99931,4,Outdoor Adventurers,04-01-2023
185,Alpha Innovations,Search,Women 35-44,45 days,Instagram,4.410684664,3802,-87.51,Miami,English,95,1857,5,Health & Wellness,04-01-2023
